N (# of atoms):
4 Cr4 420.116 0.918527
4 Cr4 430.116 0.918602
4 Cr4 440.117 0.91682
4 Cr4 450.117 0.914563
4 Cr4 460.117 0.913886
4 Cr4 470.118 0.912746
4 Cr4 480.118 0.910043
4 Cr4 490.119 0.908582
T= 490.119 Sum_i(J(m_i, T))
   
5 Cr5 0.100004 5.806
5 Cr5 10.1004 5.806
5 Cr5 20.1008 5.80599
5 Cr5 30.1011 5.80599
5 Cr5 40.1015 5.80599
5 Cr5 50.1019 5.80599
5 Cr5 60.1023 5.80599
5 Cr5 70.1027 5.80599
5 Cr5 80.103 5.80598
5 Cr5 90.1034 5.80598
5 Cr5 100.104 5.80598
5 Cr5 110.104 5.80598
5 Cr5 120.105 5.80597
5 Cr5 130.105 5.80597
5 Cr5 140.105 5.80597
5 Cr5 150.106 5.80597
5 Cr5 160.106 5.80597
5 Cr5 170.106 5.80597
5 Cr5 180.107 5.80596
5 Cr5 190.107 5.80596
5 Cr5 200.108 5.80597
5 Cr5 210.108 5.80595
5 Cr5 220.108 5.80596
5 Cr5 230.109 5.80595
5 Cr5 240.109 5.80595
5 Cr5 250.109 5.80595
5 Cr5 260.11 5.80595
5 Cr5 270.11 5.80595
5 Cr5 280.111 5.80594
5 Cr5 290.111 5.80594
5 Cr5 300.111 5.80594
5 Cr5 310.112 5.80593
5 Cr5 320.112 5.80594
5 Cr5 330.113 5.80594
5 Cr5 340.113 5.80592
5 Cr5 350.113 5.80593
5 Cr5 360.114 5.80593
5 Cr5 370.114 5.80593
5 Cr5 380.114 5.80591
5 Cr5 390.115 5.80593
5 Cr5 400.115 5.80593
5 Cr5 410.116 5.80591
5 Cr5 420.116 5.80591
5 Cr5 430.116 5.80592
5 Cr5 440.117 5.80592
5 Cr5 450.117 5.80591
5 Cr5 460.117 5.80591
5 Cr5 470.118 5.80592
5 Cr5 480.118 5.8059
5 Cr5 490.119 5.8059
T= 490.119 Sum_i(J(m_i, T))
   
6 Cr6 0.100004 0.0939804
6 Cr6 10.1004 0.104726
6 Cr6 20.1008 0.121244
6 Cr6 30.1011 0.135081
6 Cr6 40.1015 0.147463
6 Cr6 50.1019 0.15788
6 Cr6 60.1023 0.167444
6 Cr6 70.1027 0.176346
6 Cr6 80.103 0.184461
6 Cr6 90.1034 0.192431
6 Cr6 100.104 0.199605
6 Cr6 110.104 0.206755
6 Cr6 120.105 0.212709
6 Cr6 130.105 0.219272
6 Cr6 140.105 0.224957
6 Cr6 150.106 0.229878
6 Cr6 160.106 0.236025
6 Cr6 170.106 0.241402
6 Cr6 180.107 0.245888
6 Cr6 190.107 0.251218
6 Cr6 200.108 0.255996
6 Cr6 210.108 0.260358
6 Cr6 220.108 0.265106
6 Cr6 230.109 0.269449
6 Cr6 240.109 0.274056
6 Cr6 250.109 0.27844
6 Cr6 260.11 0.281691
6 Cr6 270.11 0.286153
6 Cr6 280.111 0.289984
6 Cr6 290.111 0.293863
6 Cr6 300.111 0.297471
6 Cr6 310.112 0.303043
6 Cr6 320.112 0.305513
6 Cr6 330.113 0.308318
6 Cr6 340.113 0.31192
6 Cr6 350.113 0.315686
6 Cr6 360.114 0.318664
6 Cr6 370.114 0.321384
6 Cr6 380.114 0.324349
6 Cr6 390.115 0.328774
6 Cr6 400.115 0.330897
6 Cr6 410.116 0.333333
6 Cr6 420.116 0.338045
6 Cr6 430.116 0.340623
6 Cr6 440.117 0.343263
6 Cr6 450.117 0.346339
6 Cr6 460.117 0.349873
6 Cr6 470.118 0.351852
6 Cr6 480.118 0.3554
6 Cr6 490.119 0.358191
T= 490.119 Sum_i(J(m_i, T))
   
7 Cr7 0.100004 0.000103916
7 Cr7 10.1004 0.384736
7 Cr7 20.1008 0.372493
7 Cr7 30.1011 0.363912
7 Cr7 40.1015 0.361187
7 Cr7 50.1019 0.360155
7 Cr7 60.1023 0.361819
7 Cr7 70.1027 0.364191
7 Cr7 80.103 0.366718
7 Cr7 90.1034 0.369233
7 Cr7 100.104 0.373536
7 Cr7 110.104 0.377004
7 Cr7 120.105 0.379833
7 Cr7 130.105 0.382277
7 Cr7 140.105 0.386297
7 Cr7 150.106 0.38997
7 Cr7 160.106 0.393239
7 Cr7 170.106 0.397928
7 Cr7 180.107 0.400169
7 Cr7 190.107 0.40292
7 Cr7 200.108 0.406005
7 Cr7 210.108 0.408777
7 Cr7 220.108 0.4115
7 Cr7 230.109 0.414823
7 Cr7 240.109 0.41891
7 Cr7 250.109 0.421582
7 Cr7 260.11 0.423725
7 Cr7 270.11 0.42639
7 Cr7 280.111 0.429269
7 Cr7 290.111 0.43313
7 Cr7 300.111 0.436215
7 Cr7 310.112 0.437145
7 Cr7 320.112 0.440831
7 Cr7 330.113 0.443606
7 Cr7 340.113 0.446248
7 Cr7 350.113 0.449108
7 Cr7 360.114 0.451229
7 Cr7 370.114 0.453719
7 Cr7 380.114 0.455155
7 Cr7 390.115 0.459326
7 Cr7 400.115 0.460856
7 Cr7 410.116 0.463946
7 Cr7 420.116 0.465353
7 Cr7 430.116 0.467079
7 Cr7 440.117 0.470969
7 Cr7 450.117 0.472632
7 Cr7 460.117 0.473602
7 Cr7 470.118 0.477088
7 Cr7 480.118 0.48063
7 Cr7 490.119 0.482491
T= 490.119 Sum_i(J(m_i, T))
   
8 Cr8 0.100004 0.242651
8 Cr8 10.1004 0.198717
8 Cr8 20.1008 0.212665
8 Cr8 30.1011 0.227482
8 Cr8 40.1015 0.238936
8 Cr8 50.1019 0.249018
8 Cr8 60.1023 0.259086
8 Cr8 70.1027 0.268082
8 Cr8 80.103 0.276075
8 Cr8 90.1034 0.28373
8 Cr8 100.104 0.290925
8 Cr8 110.104 0.29779
8 Cr8 120.105 0.304217
8 Cr8 130.105 0.309651
8 Cr8 140.105 0.316206
8 Cr8 150.106 0.32155
8 Cr8 160.106 0.327265
8 Cr8 170.106 0.332759
8 Cr8 180.107 0.337081
8 Cr8 190.107 0.342963
8 Cr8 200.108 0.346564
8 Cr8 210.108 0.352017
8 Cr8 220.108 0.356412
8 Cr8 230.109 0.359559
8 Cr8 240.109 0.364359
8 Cr8 250.109 0.368567
8 Cr8 260.11 0.37354
8 Cr8 270.11 0.376623
8 Cr8 280.111 0.379726
8 Cr8 290.111 0.384948
8 Cr8 300.111 0.387921
8 Cr8 310.112 0.391096
8 Cr8 320.112 0.394299
8 Cr8 330.113 0.398526
8 Cr8 340.113 0.401746
8 Cr8 350.113 0.406418
8 Cr8 360.114 0.407866
8 Cr8 370.114 0.412153
8 Cr8 380.114 0.414754
8 Cr8 390.115 0.419015
8 Cr8 400.115 0.420432
8 Cr8 410.116 0.424311
8 Cr8 420.116 0.42776
8 Cr8 430.116 0.430368
8 Cr8 440.117 0.432519
8 Cr8 450.117 0.435522
8 Cr8 460.117 0.438827
8 Cr8 470.118 0.440755
8 Cr8 480.118 0.442555
8 Cr8 490.119 0.44632
T= 490.119 Sum_i(J(m_i, T))
   
9 Cr9 0.100004 5.59534e-05
9 Cr9 10.1004 0.445678
9 Cr9 20.1008 0.441815
9 Cr9 30.1011 0.43117
9 Cr9 40.1015 0.421999
9 Cr9 50.1019 0.415385
9 Cr9 60.1023 0.411334
9 Cr9 70.1027 0.408644
9 Cr9 80.103 0.407991
9 Cr9 90.1034 0.407917
9 Cr9 100.104 0.408143
9 Cr9 110.104 0.410067
9 Cr9 120.105 0.41044
9 Cr9 130.105 0.411582
9 Cr9 140.105 0.413186
9 Cr9 150.106 0.415285
9 Cr9 160.106 0.417016
9 Cr9 170.106 0.419004
9 Cr9 180.107 0.421088
9 Cr9 190.107 0.423041
9 Cr9 200.108 0.425979
9 Cr9 210.108 0.427633
9 Cr9 220.108 0.429856
9 Cr9 230.109 0.432499
9 Cr9 240.109 0.434924
9 Cr9 250.109 0.436272
9 Cr9 260.11 0.439233
9 Cr9 270.11 0.441449
9 Cr9 280.111 0.443225
9 Cr9 290.111 0.445311
9 Cr9 300.111 0.447819
9 Cr9 310.112 0.449796
9 Cr9 320.112 0.45218
9 Cr9 330.113 0.454136
9 Cr9 340.113 0.456685
9 Cr9 350.113 0.457851
9 Cr9 360.114 0.460786
9 Cr9 370.114 0.462773
9 Cr9 380.114 0.463682
9 Cr9 390.115 0.465991
9 Cr9 400.115 0.46792
9 Cr9 410.116 0.471566
9 Cr9 420.116 0.473012
9 Cr9 430.116 0.474276
9 Cr9 440.117 0.47681
9 Cr9 450.117 0.477367
9 Cr9 460.117 0.48057
9 Cr9 470.118 0.482378
9 Cr9 480.118 0.484214
9 Cr9 490.119 0.485242
T= 490.119 Sum_i(J(m_i, T))
   
10 Fe1 0.100004 1.05077
10 Fe1 10.1004 1.04696
10 Fe1 20.1008 1.04318
10 Fe1 30.1011 1.03944
10 Fe1 40.1015 1.0362
10 Fe1 50.1019 1.03203
10 Fe1 60.1023 1.02736
10 Fe1 70.1027 1.02408
10 Fe1 80.103 1.01982
10 Fe1 90.1034 1.01617
10 Fe1 100.104 1.0124
10 Fe1 110.104 1.00761
10 Fe1 120.105 1.00318
10 Fe1 130.105 1.00017
10 Fe1 140.105 0.99517
10 Fe1 150.106 0.992344
10 Fe1 160.106 0.988481
10 Fe1 170.106 0.984865
10 Fe1 180.107 0.981124
10 Fe1 190.107 0.977301
10 Fe1 200.108 0.973761
10 Fe1 210.108 0.971254
10 Fe1 220.108 0.967823
10 Fe1 230.109 0.964474
10 Fe1 240.109 0.961631
10 Fe1 250.109 0.959197
10 Fe1 260.11 0.955842
10 Fe1 270.11 0.954029
10 Fe1 280.111 0.952115
10 Fe1 290.111 0.948809
10 Fe1 300.111 0.94784
10 Fe1 310.112 0.944925
10 Fe1 320.112 0.942431
10 Fe1 330.113 0.940546
10 Fe1 340.113 0.93985
10 Fe1 350.113 0.93794
10 Fe1 360.114 0.937007
10 Fe1 370.114 0.932568
10 Fe1 380.114 0.932418
10 Fe1 390.115 0.930887
10 Fe1 400.115 0.929734
10 Fe1 410.116 0.929131
10 Fe1 420.116 0.928204
10 Fe1 430.116 0.925566
10 Fe1 440.117 0.925066
10 Fe1 450.117 0.924866
10 Fe1 460.117 0.925351
10 Fe1 470.118 0.924114
10 Fe1 480.118 0.923238
10 Fe1 490.119 0.922856
T= 490.119 Sum_i(J(m_i, T))
   
11 Fe2 0.100004 0.920113
11 Fe2 10.1004 0.870603
11 Fe2 20.1008 0.787944
11 Fe2 30.1011 0.737266
11 Fe2 40.1015 0.710134
11 Fe2 50.1019 0.695574
11 Fe2 60.1023 0.687392
11 Fe2 70.1027 0.683687
11 Fe2 80.103 0.679191
11 Fe2 90.1034 0.681167
11 Fe2 100.104 0.679679
11 Fe2 110.104 0.680348
11 Fe2 120.105 0.681188
11 Fe2 130.105 0.682069
11 Fe2 140.105 0.685464
11 Fe2 150.106 0.687063
11 Fe2 160.106 0.689617
11 Fe2 170.106 0.690614
