N (# of atoms):
17 Fe8 370.114 1.06715
17 Fe8 380.114 1.0666
17 Fe8 390.115 1.06137
17 Fe8 400.115 1.06102
17 Fe8 410.116 1.05786
17 Fe8 420.116 1.05626
17 Fe8 430.116 1.05236
17 Fe8 440.117 1.05227
17 Fe8 450.117 1.05099
17 Fe8 460.117 1.04893
17 Fe8 470.118 1.0473
17 Fe8 480.118 1.04609
17 Fe8 490.119 1.04256
T= 490.119 Sum_i(J(m_i, T))
   
18 Fe9 0.100004 1.33533
18 Fe9 10.1004 1.33238
18 Fe9 20.1008 1.32994
18 Fe9 30.1011 1.32691
18 Fe9 40.1015 1.3242
18 Fe9 50.1019 1.32038
18 Fe9 60.1023 1.318
18 Fe9 70.1027 1.31467
18 Fe9 80.103 1.31146
18 Fe9 90.1034 1.30818
18 Fe9 100.104 1.30517
18 Fe9 110.104 1.30172
18 Fe9 120.105 1.29791
18 Fe9 130.105 1.29469
18 Fe9 140.105 1.2915
18 Fe9 150.106 1.28805
18 Fe9 160.106 1.28406
18 Fe9 170.106 1.27994
18 Fe9 180.107 1.27665
18 Fe9 190.107 1.27219
18 Fe9 200.108 1.26806
18 Fe9 210.108 1.26305
18 Fe9 220.108 1.26011
18 Fe9 230.109 1.2569
18 Fe9 240.109 1.25391
18 Fe9 250.109 1.24967
18 Fe9 260.11 1.24524
18 Fe9 270.11 1.24068
18 Fe9 280.111 1.2378
18 Fe9 290.111 1.23264
18 Fe9 300.111 1.23011
18 Fe9 310.112 1.22599
18 Fe9 320.112 1.22286
18 Fe9 330.113 1.21824
18 Fe9 340.113 1.2164
18 Fe9 350.113 1.21303
18 Fe9 360.114 1.20866
18 Fe9 370.114 1.20537
18 Fe9 380.114 1.2031
18 Fe9 390.115 1.20077
18 Fe9 400.115 1.19789
18 Fe9 410.116 1.19266
18 Fe9 420.116 1.19083
18 Fe9 430.116 1.18919
18 Fe9 440.117 1.18472
18 Fe9 450.117 1.18249
18 Fe9 460.117 1.18077
18 Fe9 470.118 1.17818
18 Fe9 480.118 1.17482
18 Fe9 490.119 1.17223
T= 490.119 Sum_i(J(m_i, T))
   
19 Fe10 0.100004 1.00487
19 Fe10 10.1004 0.998141
19 Fe10 20.1008 0.990891
19 Fe10 30.1011 0.983515
19 Fe10 40.1015 0.976063
19 Fe10 50.1019 0.96895
19 Fe10 60.1023 0.962185
19 Fe10 70.1027 0.95455
19 Fe10 80.103 0.947703
19 Fe10 90.1034 0.941092
19 Fe10 100.104 0.934052
19 Fe10 110.104 0.927203
19 Fe10 120.105 0.921813
19 Fe10 130.105 0.915745
19 Fe10 140.105 0.910252
19 Fe10 150.106 0.906911
19 Fe10 160.106 0.90034
19 Fe10 170.106 0.896436
19 Fe10 180.107 0.893172
19 Fe10 190.107 0.889967
19 Fe10 200.108 0.888276
19 Fe10 210.108 0.884288
19 Fe10 220.108 0.881057
19 Fe10 230.109 0.880311
19 Fe10 240.109 0.876726
19 Fe10 250.109 0.873214
19 Fe10 260.11 0.872761
19 Fe10 270.11 0.871352
19 Fe10 280.111 0.869658
19 Fe10 290.111 0.868346
19 Fe10 300.111 0.867448
19 Fe10 310.112 0.866886
19 Fe10 320.112 0.863341
19 Fe10 330.113 0.864011
19 Fe10 340.113 0.8634
19 Fe10 350.113 0.863473
19 Fe10 360.114 0.861716
19 Fe10 370.114 0.860346
19 Fe10 380.114 0.861359
19 Fe10 390.115 0.860713
19 Fe10 400.115 0.860999
19 Fe10 410.116 0.858955
19 Fe10 420.116 0.860592
19 Fe10 430.116 0.861908
19 Fe10 440.117 0.862687
19 Fe10 450.117 0.860209
19 Fe10 460.117 0.860141
19 Fe10 470.118 0.860828
19 Fe10 480.118 0.860715
19 Fe10 490.119 0.861791
T= 490.119 Sum_i(J(m_i, T))
   
20 Fe11 0.100004 0.526699
20 Fe11 10.1004 0.516806
20 Fe11 20.1008 0.506955
20 Fe11 30.1011 0.500294
20 Fe11 40.1015 0.496056
20 Fe11 50.1019 0.494411
20 Fe11 60.1023 0.494159
20 Fe11 70.1027 0.495471
20 Fe11 80.103 0.49697
20 Fe11 90.1034 0.499121
20 Fe11 100.104 0.501055
20 Fe11 110.104 0.504319
20 Fe11 120.105 0.509313
20 Fe11 130.105 0.510486
20 Fe11 140.105 0.513794
20 Fe11 150.106 0.517869
20 Fe11 160.106 0.522068
20 Fe11 170.106 0.524441
20 Fe11 180.107 0.528209
20 Fe11 190.107 0.532671
20 Fe11 200.108 0.534872
20 Fe11 210.108 0.538324
20 Fe11 220.108 0.541206
20 Fe11 230.109 0.54542
20 Fe11 240.109 0.548889
20 Fe11 250.109 0.551697
20 Fe11 260.11 0.555259
20 Fe11 270.11 0.557802
20 Fe11 280.111 0.56227
20 Fe11 290.111 0.564839
20 Fe11 300.111 0.565766
20 Fe11 310.112 0.570313
20 Fe11 320.112 0.57328
20 Fe11 330.113 0.576188
20 Fe11 340.113 0.578314
20 Fe11 350.113 0.580824
20 Fe11 360.114 0.584531
20 Fe11 370.114 0.587183
20 Fe11 380.114 0.58953
20 Fe11 390.115 0.592583
20 Fe11 400.115 0.594089
20 Fe11 410.116 0.597263
20 Fe11 420.116 0.601729
20 Fe11 430.116 0.602807
20 Fe11 440.117 0.603896
20 Fe11 450.117 0.606457
20 Fe11 460.117 0.611045
20 Fe11 470.118 0.612801
20 Fe11 480.118 0.615921
20 Fe11 490.119 0.617507
T= 490.119 Sum_i(J(m_i, T))
   
21 Fe12 0.100004 0.806868
21 Fe12 10.1004 0.802592
21 Fe12 20.1008 0.79818
21 Fe12 30.1011 0.793974
21 Fe12 40.1015 0.789606
21 Fe12 50.1019 0.785291
21 Fe12 60.1023 0.781012
21 Fe12 70.1027 0.776329
21 Fe12 80.103 0.772681
21 Fe12 90.1034 0.768184
21 Fe12 100.104 0.765496
21 Fe12 110.104 0.761866
21 Fe12 120.105 0.757921
21 Fe12 130.105 0.755391
21 Fe12 140.105 0.753456
21 Fe12 150.106 0.749842
21 Fe12 160.106 0.747029
21 Fe12 170.106 0.746549
21 Fe12 180.107 0.744484
21 Fe12 190.107 0.741917
21 Fe12 200.108 0.740966
21 Fe12 210.108 0.740543
21 Fe12 220.108 0.739031
21 Fe12 230.109 0.737847
21 Fe12 240.109 0.738327
21 Fe12 250.109 0.735842
21 Fe12 260.11 0.736798
21 Fe12 270.11 0.736137
21 Fe12 280.111 0.735642
21 Fe12 290.111 0.734967
21 Fe12 300.111 0.735063
21 Fe12 310.112 0.733848
21 Fe12 320.112 0.734521
21 Fe12 330.113 0.734634
21 Fe12 340.113 0.73535
21 Fe12 350.113 0.736329
21 Fe12 360.114 0.73721
21 Fe12 370.114 0.736741
21 Fe12 380.114 0.737358
21 Fe12 390.115 0.737382
21 Fe12 400.115 0.737232
21 Fe12 410.116 0.738308
21 Fe12 420.116 0.738484
21 Fe12 430.116 0.740913
21 Fe12 440.117 0.741196
21 Fe12 450.117 0.741029
21 Fe12 460.117 0.743434
21 Fe12 470.118 0.742401
21 Fe12 480.118 0.743941
21 Fe12 490.119 0.744456
T= 490.119 Sum_i(J(m_i, T))
   
22 Fe13 0.100004 1.17626
22 Fe13 10.1004 1.17343
22 Fe13 20.1008 1.17069
22 Fe13 30.1011 1.16759
22 Fe13 40.1015 1.16471
22 Fe13 50.1019 1.16187
22 Fe13 60.1023 1.15884
22 Fe13 70.1027 1.15589
22 Fe13 80.103 1.15264
22 Fe13 90.1034 1.14889
22 Fe13 100.104 1.14585
22 Fe13 110.104 1.1433
22 Fe13 120.105 1.13901
22 Fe13 130.105 1.13548
22 Fe13 140.105 1.13235
22 Fe13 150.106 1.1284
22 Fe13 160.106 1.12456
22 Fe13 170.106 1.12167
22 Fe13 180.107 1.11781
22 Fe13 190.107 1.11389
22 Fe13 200.108 1.10989
22 Fe13 210.108 1.10644
22 Fe13 220.108 1.10235
22 Fe13 230.109 1.09817
22 Fe13 240.109 1.09559
22 Fe13 250.109 1.0923
22 Fe13 260.11 1.08929
22 Fe13 270.11 1.08647
22 Fe13 280.111 1.08255
22 Fe13 290.111 1.07927
22 Fe13 300.111 1.07741
22 Fe13 310.112 1.07313
22 Fe13 320.112 1.07103
22 Fe13 330.113 1.06823
22 Fe13 340.113 1.06457
22 Fe13 350.113 1.06338
22 Fe13 360.114 1.05938
22 Fe13 370.114 1.05696
22 Fe13 380.114 1.05602
22 Fe13 390.115 1.05069
22 Fe13 400.115 1.04981
22 Fe13 410.116 1.04996
22 Fe13 420.116 1.04504
22 Fe13 430.116 1.04538
22 Fe13 440.117 1.04145
22 Fe13 450.117 1.03889
22 Fe13 460.117 1.03805
22 Fe13 470.118 1.03741
22 Fe13 480.118 1.0355
22 Fe13 490.119 1.03278
T= 490.119 Sum_i(J(m_i, T))
   
23 Fe14 0.100004 1.10838
23 Fe14 10.1004 1.10062
23 Fe14 20.1008 1.09137
23 Fe14 30.1011 1.0819
23 Fe14 40.1015 1.06931
23 Fe14 50.1019 1.05484
23 Fe14 60.1023 1.03862
23 Fe14 70.1027 1.02111
23 Fe14 80.103 1.00637
23 Fe14 90.1034 0.990583
23 Fe14 100.104 0.975824
23 Fe14 110.104 0.964065
23 Fe14 120.105 0.953242
23 Fe14 130.105 0.942998
23 Fe14 140.105 0.93325
23 Fe14 150.106 0.925154
23 Fe14 160.106 0.918896
23 Fe14 170.106 0.913378
23 Fe14 180.107 0.907731
23 Fe14 190.107 0.903146
23 Fe14 200.108 0.898172
23 Fe14 210.108 0.894817
23 Fe14 220.108 0.89101
23 Fe14 230.109 0.888867
23 Fe14 240.109 0.88861
23 Fe14 250.109 0.883617
23 Fe14 260.11 0.882527
23 Fe14 270.11 0.88051
23 Fe14 280.111 0.878685
23 Fe14 290.111 0.878197
23 Fe14 300.111 0.875804
23 Fe14 310.112 0.87701
23 Fe14 320.112 0.874576
23 Fe14 330.113 0.872011
23 Fe14 340.113 0.87277
23 Fe14 350.113 0.873438
23 Fe14 360.114 0.871879
23 Fe14 370.114 0.871647
23 Fe14 380.114 0.872921
23 Fe14 390.115 0.871746
23 Fe14 400.115 0.872637
23 Fe14 410.116 0.870928
23 Fe14 420.116 0.872559
23 Fe14 430.116 0.871693
23 Fe14 440.117 0.870803
23 Fe14 450.117 0.87042
23 Fe14 460.117 0.870426
23 Fe14 470.118 0.872356
23 Fe14 480.118 0.872023
23 Fe14 490.119 0.873034
T= 490.119 Sum_i(J(m_i, T))
   
24 Fe15 0.100004 0.89538
24 Fe15 10.1004 0.885257
24 Fe15 20.1008 0.874216
24 Fe15 30.1011 0.862815
24 Fe15 40.1015 0.851768
24 Fe15 50.1019 0.840606
24 Fe15 60.1023 0.830154
24 Fe15 70.1027 0.820976
24 Fe15 80.103 0.81105
24 Fe15 90.1034 0.804225
24 Fe15 100.104 0.797063
24 Fe15 110.104 0.791312
24 Fe15 120.105 0.786902
24 Fe15 130.105 0.783624
24 Fe15 140.105 0.779208
24 Fe15 150.106 0.776316
24 Fe15 160.106 0.772704
24 Fe15 170.106 0.771287
24 Fe15 180.107 0.770799
24 Fe15 190.107 0.769062
24 Fe15 200.108 0.767241
24 Fe15 210.108 0.766237
24 Fe15 220.108 0.765722
24 Fe15 230.109 0.765421
24 Fe15 240.109 0.765406
24 Fe15 250.109 0.765562
24 Fe15 260.11 0.765073
24 Fe15 270.11 0.766205
24 Fe15 280.111 0.767061
24 Fe15 290.111 0.76615
24 Fe15 300.111 0.767949
24 Fe15 310.112 0.765543
24 Fe15 320.112 0.768519
24 Fe15 330.113 0.769645
24 Fe15 340.113 0.768348
24 Fe15 350.113 0.769934
24 Fe15 360.114 0.770407
24 Fe15 370.114 0.771348
24 Fe15 380.114 0.773406
24 Fe15 390.115 0.773518
24 Fe15 400.115 0.771717
24 Fe15 410.116 0.775181
24 Fe15 420.116 0.775523
24 Fe15 430.116 0.77796
24 Fe15 440.117 0.778644
24 Fe15 450.117 0.77943
24 Fe15 460.117 0.780356
24 Fe15 470.118 0.78026
24 Fe15 480.118 0.782759
24 Fe15 490.119 0.783394
T= 490.119 Sum_i(J(m_i, T))
   
25 Fe16 0.100004 1.17976
25 Fe16 10.1004 1.17578
25 Fe16 20.1008 1.17139
25 Fe16 30.1011 1.1672
25 Fe16 40.1015 1.16266
25 Fe16 50.1019 1.15834
25 Fe16 60.1023 1.15315
25 Fe16 70.1027 1.14851
25 Fe16 80.103 1.14295
25 Fe16 90.1034 1.13665
25 Fe16 100.104 1.13245
25 Fe16 110.104 1.12627
25 Fe16 120.105 1.12071
25 Fe16 130.105 1.11418
25 Fe16 140.105 1.10914
25 Fe16 150.106 1.1023
25 Fe16 160.106 1.09507
25 Fe16 170.106 1.0899
25 Fe16 180.107 1.08423
25 Fe16 190.107 1.07927
25 Fe16 200.108 1.07327
25 Fe16 210.108 1.06929
25 Fe16 220.108 1.0633
25 Fe16 230.109 1.05921
25 Fe16 240.109 1.05395
25 Fe16 250.109 1.04982
25 Fe16 260.11 1.04467
25 Fe16 270.11 1.04231
25 Fe16 280.111 1.0376
25 Fe16 290.111 1.03435
25 Fe16 300.111 1.02993
25 Fe16 310.112 1.02771
25 Fe16 320.112 1.02584
25 Fe16 330.113 1.02257
25 Fe16 340.113 1.01826
25 Fe16 350.113 1.01655
25 Fe16 360.114 1.01392
25 Fe16 370.114 1.01066
25 Fe16 380.114 1.00939
25 Fe16 390.115 1.00774
25 Fe16 400.115 1.0058
25 Fe16 410.116 1.00319
25 Fe16 420.116 1.00092
25 Fe16 430.116 1.00059
25 Fe16 440.117 0.996846
25 Fe16 450.117 0.996579
25 Fe16 460.117 0.995291
25 Fe16 470.118 0.994351
25 Fe16 480.118 0.992216
25 Fe16 490.119 0.991464
T= 490.119 Sum_i(J(m_i, T))
   
26 Fe17 0.100004 1.09258
26 Fe17 10.1004 1.08821
26 Fe17 20.1008 1.08378
26 Fe17 30.1011 1.07973
26 Fe17 40.1015 1.07515
26 Fe17 50.1019 1.07049
26 Fe17 60.1023 1.06585
26 Fe17 70.1027 1.06063
26 Fe17 80.103 1.05692
26 Fe17 90.1034 1.0508
26 Fe17 100.104 1.04733
26 Fe17 110.104 1.04235
26 Fe17 120.105 1.03637
26 Fe17 130.105 1.03183
26 Fe17 140.105 1.02731
26 Fe17 150.106 1.02325
26 Fe17 160.106 1.01738
26 Fe17 170.106 1.01323
26 Fe17 180.107 1.00927
26 Fe17 190.107 1.00489
26 Fe17 200.108 0.999951
26 Fe17 210.108 0.996703
26 Fe17 220.108 0.992403
26 Fe17 230.109 0.98865
26 Fe17 240.109 0.986483
26 Fe17 250.109 0.983874
26 Fe17 260.11 0.979711
26 Fe17 270.11 0.97686
26 Fe17 280.111 0.97353
26 Fe17 290.111 0.971242
26 Fe17 300.111 0.968114
26 Fe17 310.112 0.966595
26 Fe17 320.112 0.964806
26 Fe17 330.113 0.961449
26 Fe17 340.113 0.959723
26 Fe17 350.113 0.958137
26 Fe17 360.114 0.956143
26 Fe17 370.114 0.95495
26 Fe17 380.114 0.954093
26 Fe17 390.115 0.95299
26 Fe17 400.115 0.951008
26 Fe17 410.116 0.949521
26 Fe17 420.116 0.947694
26 Fe17 430.116 0.946845
26 Fe17 440.117 0.945166
26 Fe17 450.117 0.943586
26 Fe17 460.117 0.942888
26 Fe17 470.118 0.943963
26 Fe17 480.118 0.942429
26 Fe17 490.119 0.94185
T= 490.119 Sum_i(J(m_i, T))
   
27 Fe18 0.100004 0.958269
27 Fe18 10.1004 0.952166
27 Fe18 20.1008 0.945493
27 Fe18 30.1011 0.938627
27 Fe18 40.1015 0.931522
27 Fe18 50.1019 0.923738
27 Fe18 60.1023 0.916641
27 Fe18 70.1027 0.908416
27 Fe18 80.103 0.899255
27 Fe18 90.1034 0.893119
27 Fe18 100.104 0.885622
27 Fe18 110.104 0.87691
27 Fe18 120.105 0.870669
27 Fe18 130.105 0.86528
27 Fe18 140.105 0.858759
27 Fe18 150.106 0.854629
27 Fe18 160.106 0.850234
27 Fe18 170.106 0.845066
27 Fe18 180.107 0.841964
27 Fe18 190.107 0.837852
27 Fe18 200.108 0.83462
27 Fe18 210.108 0.832427
27 Fe18 220.108 0.829408
27 Fe18 230.109 0.826238
27 Fe18 240.109 0.825441
27 Fe18 250.109 0.822542
27 Fe18 260.11 0.823022
27 Fe18 270.11 0.820291
27 Fe18 280.111 0.818982
27 Fe18 290.111 0.818357
27 Fe18 300.111 0.81915
27 Fe18 310.112 0.815238
27 Fe18 320.112 0.817828
27 Fe18 330.113 0.816076
27 Fe18 340.113 0.814696
27 Fe18 350.113 0.81436
27 Fe18 360.114 0.813085
27 Fe18 370.114 0.81332
27 Fe18 380.114 0.813071
27 Fe18 390.115 0.813668
27 Fe18 400.115 0.814931
27 Fe18 410.116 0.814405
27 Fe18 420.116 0.81485
27 Fe18 430.116 0.812858
27 Fe18 440.117 0.813789
27 Fe18 450.117 0.816018
27 Fe18 460.117 0.815436
27 Fe18 470.118 0.814373
27 Fe18 480.118 0.815924
27 Fe18 490.119 0.814466
T= 490.119 Sum_i(J(m_i, T))
   
28 Fe19 0.100004 1.37995
28 Fe19 10.1004 1.37766
28 Fe19 20.1008 1.37538
28 Fe19 30.1011 1.37307
28 Fe19 40.1015 1.37032
28 Fe19 50.1019 1.36791
28 Fe19 60.1023 1.36549
28 Fe19 70.1027 1.36296
28 Fe19 80.103 1.36036
28 Fe19 90.1034 1.35752
28 Fe19 100.104 1.35563
28 Fe19 110.104 1.3528
28 Fe19 120.105 1.34945
28 Fe19 130.105 1.34781
28 Fe19 140.105 1.34336
28 Fe19 150.106 1.34021
28 Fe19 160.106 1.3379
28 Fe19 170.106 1.33436
28 Fe19 180.107 1.33183
28 Fe19 190.107 1.32824
28 Fe19 200.108 1.32495
28 Fe19 210.108 1.32153
28 Fe19 220.108 1.31907
28 Fe19 230.109 1.31509
28 Fe19 240.109 1.31185
28 Fe19 250.109 1.30779
28 Fe19 260.11 1.30418
28 Fe19 270.11 1.30206
28 Fe19 280.111 1.29706
28 Fe19 290.111 1.2938
28 Fe19 300.111 1.29011
28 Fe19 310.112 1.28761
28 Fe19 320.112 1.28299
28 Fe19 330.113 1.27915
28 Fe19 340.113 1.27762
28 Fe19 350.113 1.27399
28 Fe19 360.114 1.26934
28 Fe19 370.114 1.26729
28 Fe19 380.114 1.26313
28 Fe19 390.115 1.26004
28 Fe19 400.115 1.25714
28 Fe19 410.116 1.25225
28 Fe19 420.116 1.2509
28 Fe19 430.116 1.24801
28 Fe19 440.117 1.24484
28 Fe19 450.117 1.24171
28 Fe19 460.117 1.24005
28 Fe19 470.118 1.23522
28 Fe19 480.118 1.23556
28 Fe19 490.119 1.22994
T= 490.119 Sum_i(J(m_i, T))
   
29 Fe20 0.100004 1.12473
29 Fe20 10.1004 1.12038
29 Fe20 20.1008 1.11634
29 Fe20 30.1011 1.11197
29 Fe20 40.1015 1.10726
29 Fe20 50.1019 1.10297
29 Fe20 60.1023 1.09775
29 Fe20 70.1027 1.09306
29 Fe20 80.103 1.08843
29 Fe20 90.1034 1.08292
29 Fe20 100.104 1.0776
29 Fe20 110.104 1.07238
29 Fe20 120.105 1.06641
29 Fe20 130.105 1.06133
29 Fe20 140.105 1.05686
29 Fe20 150.106 1.05059
29 Fe20 160.106 1.04554
29 Fe20 170.106 1.03989
29 Fe20 180.107 1.03527
29 Fe20 190.107 1.03104
29 Fe20 200.108 1.02539
29 Fe20 210.108 1.02122
29 Fe20 220.108 1.01661
29 Fe20 230.109 1.01227
29 Fe20 240.109 1.00933
29 Fe20 250.109 1.00508
29 Fe20 260.11 1.00332
29 Fe20 270.11 0.998556
29 Fe20 280.111 0.996442
29 Fe20 290.111 0.993217
29 Fe20 300.111 0.989104
29 Fe20 310.112 0.985708
29 Fe20 320.112 0.985199
29 Fe20 330.113 0.981356
29 Fe20 340.113 0.980078
29 Fe20 350.113 0.977515
29 Fe20 360.114 0.97584
29 Fe20 370.114 0.973423
29 Fe20 380.114 0.970993
29 Fe20 390.115 0.971382
29 Fe20 400.115 0.968254
29 Fe20 410.116 0.965399
29 Fe20 420.116 0.964716
29 Fe20 430.116 0.963213
29 Fe20 440.117 0.964202
29 Fe20 450.117 0.96231
29 Fe20 460.117 0.961191
29 Fe20 470.118 0.959754
29 Fe20 480.118 0.960293
29 Fe20 490.119 0.958969
T= 490.119 Sum_i(J(m_i, T))
   
30 Fe21 0.100004 0.715154
30 Fe21 10.1004 0.708725
30 Fe21 20.1008 0.702818
30 Fe21 30.1011 0.69681
30 Fe21 40.1015 0.691558
30 Fe21 50.1019 0.686467
30 Fe21 60.1023 0.681632
30 Fe21 70.1027 0.677849
30 Fe21 80.103 0.673687
30 Fe21 90.1034 0.670289
30 Fe21 100.104 0.668082
30 Fe21 110.104 0.666138
30 Fe21 120.105 0.664646
30 Fe21 130.105 0.663228
30 Fe21 140.105 0.662958
30 Fe21 150.106 0.662488
30 Fe21 160.106 0.661177
30 Fe21 170.106 0.662203
30 Fe21 180.107 0.661655
30 Fe21 190.107 0.663285
30 Fe21 200.108 0.663852
30 Fe21 210.108 0.66468
30 Fe21 220.108 0.665145
30 Fe21 230.109 0.664448
30 Fe21 240.109 0.66683
30 Fe21 250.109 0.667731
30 Fe21 260.11 0.668593
30 Fe21 270.11 0.670592
30 Fe21 280.111 0.671695
30 Fe21 290.111 0.671091
30 Fe21 300.111 0.673841
30 Fe21 310.112 0.674476
30 Fe21 320.112 0.676449
30 Fe21 330.113 0.678382
30 Fe21 340.113 0.680622
30 Fe21 350.113 0.679227
30 Fe21 360.114 0.682156
30 Fe21 370.114 0.68286
30 Fe21 380.114 0.683951
30 Fe21 390.115 0.686144
30 Fe21 400.115 0.688158
30 Fe21 410.116 0.689748
30 Fe21 420.116 0.691258
30 Fe21 430.116 0.692063
30 Fe21 440.117 0.694672
30 Fe21 450.117 0.696976
30 Fe21 460.117 0.696415
30 Fe21 470.118 0.6989
30 Fe21 480.118 0.699857
30 Fe21 490.119 0.701119
T= 490.119 Sum_i(J(m_i, T))
   
31 Fe22 0.100004 1.255
31 Fe22 10.1004 1.25132
31 Fe22 20.1008 1.24765
31 Fe22 30.1011 1.24379
31 Fe22 40.1015 1.24028
31 Fe22 50.1019 1.23595
31 Fe22 60.1023 1.23176
31 Fe22 70.1027 1.22775
31 Fe22 80.103 1.22311
31 Fe22 90.1034 1.2188
31 Fe22 100.104 1.21413
31 Fe22 110.104 1.20844
31 Fe22 120.105 1.20476
31 Fe22 130.105 1.19922
31 Fe22 140.105 1.19335
31 Fe22 150.106 1.18751
31 Fe22 160.106 1.18311
31 Fe22 170.106 1.17675
31 Fe22 180.107 1.17254
31 Fe22 190.107 1.1651
31 Fe22 200.108 1.16102
31 Fe22 210.108 1.15474
31 Fe22 220.108 1.14957
31 Fe22 230.109 1.14586
31 Fe22 240.109 1.14097
31 Fe22 250.109 1.13576
31 Fe22 260.11 1.13223
31 Fe22 270.11 1.12704
31 Fe22 280.111 1.12361
31 Fe22 290.111 1.11891
31 Fe22 300.111 1.11561
31 Fe22 310.112 1.10927
31 Fe22 320.112 1.10737
31 Fe22 330.113 1.10562
31 Fe22 340.113 1.10147
31 Fe22 350.113 1.09704
31 Fe22 360.114 1.0942
31 Fe22 370.114 1.09027
31 Fe22 380.114 1.08856
31 Fe22 390.115 1.08662
31 Fe22 400.115 1.08394
31 Fe22 410.116 1.08156
31 Fe22 420.116 1.07898
31 Fe22 430.116 1.07571
31 Fe22 440.117 1.0721
31 Fe22 450.117 1.07169
31 Fe22 460.117 1.06936
31 Fe22 470.118 1.06759
31 Fe22 480.118 1.06535
31 Fe22 490.119 1.06334
T= 490.119 Sum_i(J(m_i, T))
   
32 Fe23 0.100004 1.48568
32 Fe23 10.1004 1.48368
32 Fe23 20.1008 1.48148
32 Fe23 30.1011 1.47981
32 Fe23 40.1015 1.47729
32 Fe23 50.1019 1.4755
32 Fe23 60.1023 1.47305
32 Fe23 70.1027 1.47082
32 Fe23 80.103 1.46922
32 Fe23 90.1034 1.46681
32 Fe23 100.104 1.46437
32 Fe23 110.104 1.46169
32 Fe23 120.105 1.45946
32 Fe23 130.105 1.45733
32 Fe23 140.105 1.45416
32 Fe23 150.106 1.45256
32 Fe23 160.106 1.44884
32 Fe23 170.106 1.44764
32 Fe23 180.107 1.44487
32 Fe23 190.107 1.44114
32 Fe23 200.108 1.43915
32 Fe23 210.108 1.43535
32 Fe23 220.108 1.43333
32 Fe23 230.109 1.43054
32 Fe23 240.109 1.42646
32 Fe23 250.109 1.42428
32 Fe23 260.11 1.42032
32 Fe23 270.11 1.41809
32 Fe23 280.111 1.41436
32 Fe23 290.111 1.41194
32 Fe23 300.111 1.40855
32 Fe23 310.112 1.40433
32 Fe23 320.112 1.40118
32 Fe23 330.113 1.39821
32 Fe23 340.113 1.39588
32 Fe23 350.113 1.39248
32 Fe23 360.114 1.38763
32 Fe23 370.114 1.38612
32 Fe23 380.114 1.38214
32 Fe23 390.115 1.37882
32 Fe23 400.115 1.37641
32 Fe23 410.116 1.37188
32 Fe23 420.116 1.36969
32 Fe23 430.116 1.36578
32 Fe23 440.117 1.363
32 Fe23 450.117 1.36006
32 Fe23 460.117 1.35725
32 Fe23 470.118 1.35357
32 Fe23 480.118 1.35082
32 Fe23 490.119 1.34812
T= 490.119 Sum_i(J(m_i, T))
   
33 Fe24 0.100004 0.996481
33 Fe24 10.1004 0.989532
33 Fe24 20.1008 0.982626
33 Fe24 30.1011 0.975311
33 Fe24 40.1015 0.966546
33 Fe24 50.1019 0.958227
33 Fe24 60.1023 0.94912
33 Fe24 70.1027 0.939947
33 Fe24 80.103 0.931059
33 Fe24 90.1034 0.922804
33 Fe24 100.104 0.914499
33 Fe24 110.104 0.906663
33 Fe24 120.105 0.8989
33 Fe24 130.105 0.892126
33 Fe24 140.105 0.886696
33 Fe24 150.106 0.880485
33 Fe24 160.106 0.875702
33 Fe24 170.106 0.871108
33 Fe24 180.107 0.867581
33 Fe24 190.107 0.863723
33 Fe24 200.108 0.858533
33 Fe24 210.108 0.85677
33 Fe24 220.108 0.853336
33 Fe24 230.109 0.851545
33 Fe24 240.109 0.849086
33 Fe24 250.109 0.84751
33 Fe24 260.11 0.845251
33 Fe24 270.11 0.844407
33 Fe24 280.111 0.84389
33 Fe24 290.111 0.840053
33 Fe24 300.111 0.840846
33 Fe24 310.112 0.840434
33 Fe24 320.112 0.839975
33 Fe24 330.113 0.840156
33 Fe24 340.113 0.838422
33 Fe24 350.113 0.838475
33 Fe24 360.114 0.836886
33 Fe24 370.114 0.837535
33 Fe24 380.114 0.836239
33 Fe24 390.115 0.836664
33 Fe24 400.115 0.836415
33 Fe24 410.116 0.839253
33 Fe24 420.116 0.836423
33 Fe24 430.116 0.835909
33 Fe24 440.117 0.836024
33 Fe24 450.117 0.835789
33 Fe24 460.117 0.838165
33 Fe24 470.118 0.837101
33 Fe24 480.118 0.837119
33 Fe24 490.119 0.839529
T= 490.119 Sum_i(J(m_i, T))
   
34 Fe25 0.100004 1.38578
34 Fe25 10.1004 1.38359
34 Fe25 20.1008 1.38126
34 Fe25 30.1011 1.37853
34 Fe25 40.1015 1.37648
34 Fe25 50.1019 1.37394
34 Fe25 60.1023 1.37131
34 Fe25 70.1027 1.36845
34 Fe25 80.103 1.36598
34 Fe25 90.1034 1.36372
34 Fe25 100.104 1.36117
34 Fe25 110.104 1.35807
34 Fe25 120.105 1.35597
34 Fe25 130.105 1.35301
34 Fe25 140.105 1.35021
34 Fe25 150.106 1.34745
34 Fe25 160.106 1.34538
34 Fe25 170.106 1.34144
34 Fe25 180.107 1.33851
34 Fe25 190.107 1.33593
34 Fe25 200.108 1.33285
34 Fe25 210.108 1.32919
34 Fe25 220.108 1.3255
34 Fe25 230.109 1.32266
34 Fe25 240.109 1.31931
34 Fe25 250.109 1.31526
