N (# of atoms):
4 Cr4 420.116 1.09196
4 Cr4 430.116 1.09151
4 Cr4 440.117 1.08814
4 Cr4 450.117 1.08519
4 Cr4 460.117 1.08367
4 Cr4 470.118 1.07943
4 Cr4 480.118 1.0793
4 Cr4 490.119 1.07672
T= 490.119 Sum_i(J(m_i, T))
   
5 Cr5 0.100004 0.000500528
5 Cr5 10.1004 0.232518
5 Cr5 20.1008 0.242385
5 Cr5 30.1011 0.253077
5 Cr5 40.1015 0.264297
5 Cr5 50.1019 0.273899
5 Cr5 60.1023 0.281712
5 Cr5 70.1027 0.289955
5 Cr5 80.103 0.297465
5 Cr5 90.1034 0.30448
5 Cr5 100.104 0.310959
5 Cr5 110.104 0.317315
5 Cr5 120.105 0.32408
5 Cr5 130.105 0.329964
5 Cr5 140.105 0.335012
5 Cr5 150.106 0.340945
5 Cr5 160.106 0.345387
5 Cr5 170.106 0.351557
5 Cr5 180.107 0.355357
5 Cr5 190.107 0.360197
5 Cr5 200.108 0.364967
5 Cr5 210.108 0.369051
5 Cr5 220.108 0.374822
5 Cr5 230.109 0.377714
5 Cr5 240.109 0.38104
5 Cr5 250.109 0.385495
5 Cr5 260.11 0.390263
5 Cr5 270.11 0.392845
5 Cr5 280.111 0.398524
5 Cr5 290.111 0.401537
5 Cr5 300.111 0.404182
5 Cr5 310.112 0.407948
5 Cr5 320.112 0.411809
5 Cr5 330.113 0.415011
5 Cr5 340.113 0.417837
5 Cr5 350.113 0.42069
5 Cr5 360.114 0.423931
5 Cr5 370.114 0.427858
5 Cr5 380.114 0.430505
5 Cr5 390.115 0.433796
5 Cr5 400.115 0.43621
5 Cr5 410.116 0.439771
5 Cr5 420.116 0.443786
5 Cr5 430.116 0.445486
5 Cr5 440.117 0.447949
5 Cr5 450.117 0.45135
5 Cr5 460.117 0.453433
5 Cr5 470.118 0.456306
5 Cr5 480.118 0.459236
5 Cr5 490.119 0.462141
T= 490.119 Sum_i(J(m_i, T))
   
6 Cr6 0.100004 0.122524
6 Cr6 10.1004 0.125864
6 Cr6 20.1008 0.139934
6 Cr6 30.1011 0.152867
6 Cr6 40.1015 0.164308
6 Cr6 50.1019 0.174302
6 Cr6 60.1023 0.183669
6 Cr6 70.1027 0.192137
6 Cr6 80.103 0.200005
6 Cr6 90.1034 0.207827
6 Cr6 100.104 0.21471
6 Cr6 110.104 0.221616
6 Cr6 120.105 0.227358
6 Cr6 130.105 0.233558
6 Cr6 140.105 0.239404
6 Cr6 150.106 0.243782
6 Cr6 160.106 0.25007
6 Cr6 170.106 0.25526
6 Cr6 180.107 0.259877
6 Cr6 190.107 0.264864
6 Cr6 200.108 0.2699
6 Cr6 210.108 0.273722
6 Cr6 220.108 0.278343
6 Cr6 230.109 0.282841
6 Cr6 240.109 0.287321
6 Cr6 250.109 0.291661
6 Cr6 260.11 0.294742
6 Cr6 270.11 0.299085
6 Cr6 280.111 0.302972
6 Cr6 290.111 0.306899
6 Cr6 300.111 0.310281
6 Cr6 310.112 0.315478
6 Cr6 320.112 0.317977
6 Cr6 330.113 0.320939
6 Cr6 340.113 0.324281
6 Cr6 350.113 0.328236
6 Cr6 360.114 0.330935
6 Cr6 370.114 0.333633
6 Cr6 380.114 0.33703
6 Cr6 390.115 0.341206
6 Cr6 400.115 0.343145
6 Cr6 410.116 0.345273
6 Cr6 420.116 0.350236
6 Cr6 430.116 0.352762
6 Cr6 440.117 0.355153
6 Cr6 450.117 0.358333
6 Cr6 460.117 0.361779
6 Cr6 470.118 0.36388
6 Cr6 480.118 0.367046
6 Cr6 490.119 0.369925
T= 490.119 Sum_i(J(m_i, T))
   
7 Cr7 0.100004 5.77054e-05
7 Cr7 10.1004 0.510618
7 Cr7 20.1008 0.499033
7 Cr7 30.1011 0.483342
7 Cr7 40.1015 0.472168
7 Cr7 50.1019 0.463441
7 Cr7 60.1023 0.457788
7 Cr7 70.1027 0.453321
7 Cr7 80.103 0.452061
7 Cr7 90.1034 0.449283
7 Cr7 100.104 0.451089
7 Cr7 110.104 0.450602
7 Cr7 120.105 0.451389
7 Cr7 130.105 0.451001
7 Cr7 140.105 0.453107
7 Cr7 150.106 0.454608
7 Cr7 160.106 0.456283
7 Cr7 170.106 0.458846
7 Cr7 180.107 0.459947
7 Cr7 190.107 0.462076
7 Cr7 200.108 0.464234
7 Cr7 210.108 0.46556
7 Cr7 220.108 0.467156
7 Cr7 230.109 0.469603
7 Cr7 240.109 0.472343
7 Cr7 250.109 0.474713
7 Cr7 260.11 0.476059
7 Cr7 270.11 0.478288
7 Cr7 280.111 0.480423
7 Cr7 290.111 0.483916
7 Cr7 300.111 0.485941
7 Cr7 310.112 0.486632
7 Cr7 320.112 0.489783
7 Cr7 330.113 0.491908
7 Cr7 340.113 0.49317
7 Cr7 350.113 0.497099
7 Cr7 360.114 0.498037
7 Cr7 370.114 0.499987
7 Cr7 380.114 0.501
7 Cr7 390.115 0.505166
7 Cr7 400.115 0.506224
7 Cr7 410.116 0.508413
7 Cr7 420.116 0.509893
7 Cr7 430.116 0.511857
7 Cr7 440.117 0.514557
7 Cr7 450.117 0.516126
7 Cr7 460.117 0.516602
7 Cr7 470.118 0.519731
7 Cr7 480.118 0.523527
7 Cr7 490.119 0.524949
T= 490.119 Sum_i(J(m_i, T))
   
8 Cr8 0.100004 0.000616351
8 Cr8 10.1004 0.22649
8 Cr8 20.1008 0.235955
8 Cr8 30.1011 0.248673
8 Cr8 40.1015 0.258306
8 Cr8 50.1019 0.267165
8 Cr8 60.1023 0.276462
8 Cr8 70.1027 0.284487
8 Cr8 80.103 0.292191
8 Cr8 90.1034 0.299499
8 Cr8 100.104 0.305939
8 Cr8 110.104 0.312291
8 Cr8 120.105 0.318343
8 Cr8 130.105 0.323713
8 Cr8 140.105 0.329917
8 Cr8 150.106 0.334913
8 Cr8 160.106 0.340265
8 Cr8 170.106 0.345785
8 Cr8 180.107 0.349849
8 Cr8 190.107 0.355019
8 Cr8 200.108 0.35855
8 Cr8 210.108 0.363703
8 Cr8 220.108 0.368471
8 Cr8 230.109 0.371544
8 Cr8 240.109 0.375937
8 Cr8 250.109 0.380023
8 Cr8 260.11 0.384547
8 Cr8 270.11 0.387544
8 Cr8 280.111 0.390423
8 Cr8 290.111 0.395877
8 Cr8 300.111 0.398505
8 Cr8 310.112 0.401684
8 Cr8 320.112 0.404495
8 Cr8 330.113 0.408975
8 Cr8 340.113 0.411991
8 Cr8 350.113 0.416259
8 Cr8 360.114 0.418219
8 Cr8 370.114 0.42208
8 Cr8 380.114 0.424699
8 Cr8 390.115 0.429108
8 Cr8 400.115 0.430321
8 Cr8 410.116 0.433966
8 Cr8 420.116 0.437411
8 Cr8 430.116 0.439669
8 Cr8 440.117 0.442118
8 Cr8 450.117 0.444694
8 Cr8 460.117 0.448187
8 Cr8 470.118 0.449887
8 Cr8 480.118 0.451886
8 Cr8 490.119 0.455325
T= 490.119 Sum_i(J(m_i, T))
   
9 Cr9 0.100004 0.633661
9 Cr9 10.1004 0.618986
9 Cr9 20.1008 0.609204
9 Cr9 30.1011 0.601291
9 Cr9 40.1015 0.592892
9 Cr9 50.1019 0.585861
9 Cr9 60.1023 0.578635
9 Cr9 70.1027 0.5711
9 Cr9 80.103 0.564546
9 Cr9 90.1034 0.55955
9 Cr9 100.104 0.554498
9 Cr9 110.104 0.55125
9 Cr9 120.105 0.547673
9 Cr9 130.105 0.544565
9 Cr9 140.105 0.542631
9 Cr9 150.106 0.54038
9 Cr9 160.106 0.538785
9 Cr9 170.106 0.537283
9 Cr9 180.107 0.537176
9 Cr9 190.107 0.536063
9 Cr9 200.108 0.536539
9 Cr9 210.108 0.536095
9 Cr9 220.108 0.535866
9 Cr9 230.109 0.536144
9 Cr9 240.109 0.536912
9 Cr9 250.109 0.536178
9 Cr9 260.11 0.537808
9 Cr9 270.11 0.538298
9 Cr9 280.111 0.538755
9 Cr9 290.111 0.538222
9 Cr9 300.111 0.540986
9 Cr9 310.112 0.541325
9 Cr9 320.112 0.54228
9 Cr9 330.113 0.54285
9 Cr9 340.113 0.544134
9 Cr9 350.113 0.544465
9 Cr9 360.114 0.545207
9 Cr9 370.114 0.547378
9 Cr9 380.114 0.547165
9 Cr9 390.115 0.548353
9 Cr9 400.115 0.54795
9 Cr9 410.116 0.552362
9 Cr9 420.116 0.553247
9 Cr9 430.116 0.553655
9 Cr9 440.117 0.555233
9 Cr9 450.117 0.556022
9 Cr9 460.117 0.557308
9 Cr9 470.118 0.558747
9 Cr9 480.118 0.558949
9 Cr9 490.119 0.560126
T= 490.119 Sum_i(J(m_i, T))
   
10 Fe1 0.100004 0.98068
10 Fe1 10.1004 0.976486
10 Fe1 20.1008 0.973157
10 Fe1 30.1011 0.969379
10 Fe1 40.1015 0.965244
10 Fe1 50.1019 0.961242
10 Fe1 60.1023 0.956684
10 Fe1 70.1027 0.953938
10 Fe1 80.103 0.949661
10 Fe1 90.1034 0.945842
10 Fe1 100.104 0.94248
10 Fe1 110.104 0.938408
10 Fe1 120.105 0.934815
10 Fe1 130.105 0.930954
10 Fe1 140.105 0.927369
10 Fe1 150.106 0.924418
10 Fe1 160.106 0.921545
10 Fe1 170.106 0.919643
10 Fe1 180.107 0.916236
10 Fe1 190.107 0.911683
10 Fe1 200.108 0.908855
10 Fe1 210.108 0.906931
10 Fe1 220.108 0.905137
10 Fe1 230.109 0.902684
10 Fe1 240.109 0.900387
10 Fe1 250.109 0.897685
10 Fe1 260.11 0.895798
10 Fe1 270.11 0.894543
10 Fe1 280.111 0.892541
10 Fe1 290.111 0.889777
10 Fe1 300.111 0.890277
10 Fe1 310.112 0.887862
10 Fe1 320.112 0.885323
10 Fe1 330.113 0.884654
10 Fe1 340.113 0.884815
10 Fe1 350.113 0.883485
10 Fe1 360.114 0.883035
10 Fe1 370.114 0.879974
10 Fe1 380.114 0.880175
10 Fe1 390.115 0.878808
10 Fe1 400.115 0.878121
10 Fe1 410.116 0.878048
10 Fe1 420.116 0.877877
10 Fe1 430.116 0.875264
10 Fe1 440.117 0.874927
10 Fe1 450.117 0.875114
10 Fe1 460.117 0.876741
10 Fe1 470.118 0.876602
10 Fe1 480.118 0.875618
10 Fe1 490.119 0.874858
T= 490.119 Sum_i(J(m_i, T))
   
11 Fe2 0.100004 1.4832e-06
11 Fe2 10.1004 1.51294e-06
11 Fe2 20.1008 3.85211e-06
11 Fe2 30.1011 2.96031e-06
11 Fe2 40.1015 4.93771e-06
11 Fe2 50.1019 6.73944e-06
11 Fe2 60.1023 9.17976e-06
11 Fe2 70.1027 1.10201e-05
11 Fe2 80.103 9.3525e-06
11 Fe2 90.1034 9.17934e-06
11 Fe2 100.104 9.37006e-06
11 Fe2 110.104 9.22801e-06
11 Fe2 120.105 1.28592e-05
11 Fe2 130.105 1.26859e-05
11 Fe2 140.105 1.51193e-05
11 Fe2 150.106 1.76709e-05
11 Fe2 160.106 1.71873e-05
11 Fe2 170.106 1.68015e-05
11 Fe2 180.107 1.98671e-05
11 Fe2 190.107 1.88717e-05
11 Fe2 200.108 2.24879e-05
11 Fe2 210.108 2.24868e-05
11 Fe2 220.108 1.71078e-05
11 Fe2 230.109 2.1987e-05
11 Fe2 240.109 2.4467e-05
11 Fe2 250.109 2.65113e-05
11 Fe2 260.11 2.60021e-05
11 Fe2 270.11 2.49122e-05
11 Fe2 280.111 2.77929e-05
11 Fe2 290.111 2.67266e-05
11 Fe2 300.111 2.38913e-05
11 Fe2 310.112 2.575e-05
11 Fe2 320.112 2.86594e-05
11 Fe2 330.113 3.23551e-05
11 Fe2 340.113 2.67951e-05
11 Fe2 350.113 3.03079e-05
11 Fe2 360.114 3.21513e-05
11 Fe2 370.114 3.75072e-05
11 Fe2 380.114 3.05993e-05
11 Fe2 390.115 4.20381e-05
11 Fe2 400.115 4.11297e-05
11 Fe2 410.116 4.71914e-05
11 Fe2 420.116 4.4871e-05
11 Fe2 430.116 5.13184e-05
11 Fe2 440.117 4.16718e-05
11 Fe2 450.117 4.96495e-05
11 Fe2 460.117 3.9227e-05
11 Fe2 470.118 4.67954e-05
11 Fe2 480.118 4.60203e-05
11 Fe2 490.119 4.94552e-05
T= 490.119 Sum_i(J(m_i, T))
   
12 Fe3 0.100004 1.45495
12 Fe3 10.1004 1.45293
12 Fe3 20.1008 1.45091
12 Fe3 30.1011 1.44855
12 Fe3 40.1015 1.44697
12 Fe3 50.1019 1.44469
12 Fe3 60.1023 1.44259
12 Fe3 70.1027 1.44024
12 Fe3 80.103 1.43864
12 Fe3 90.1034 1.43628
12 Fe3 100.104 1.43411
12 Fe3 110.104 1.43129
12 Fe3 120.105 1.42999
12 Fe3 130.105 1.42743
12 Fe3 140.105 1.42457
12 Fe3 150.106 1.42208
12 Fe3 160.106 1.41986
12 Fe3 170.106 1.41745
12 Fe3 180.107 1.41515
12 Fe3 190.107 1.41139
12 Fe3 200.108 1.40985
12 Fe3 210.108 1.4074
12 Fe3 220.108 1.4049
12 Fe3 230.109 1.40237
12 Fe3 240.109 1.39866
12 Fe3 250.109 1.39523
12 Fe3 260.11 1.39384
12 Fe3 270.11 1.39096
12 Fe3 280.111 1.38885
12 Fe3 290.111 1.38505
12 Fe3 300.111 1.3806
12 Fe3 310.112 1.37919
12 Fe3 320.112 1.37661
12 Fe3 330.113 1.37311
12 Fe3 340.113 1.37052
12 Fe3 350.113 1.36776
12 Fe3 360.114 1.36504
12 Fe3 370.114 1.36169
12 Fe3 380.114 1.35908
12 Fe3 390.115 1.35613
12 Fe3 400.115 1.35347
12 Fe3 410.116 1.35066
12 Fe3 420.116 1.34793
12 Fe3 430.116 1.345
12 Fe3 440.117 1.34165
12 Fe3 450.117 1.33906
12 Fe3 460.117 1.33815
12 Fe3 470.118 1.33539
12 Fe3 480.118 1.33136
12 Fe3 490.119 1.32869
T= 490.119 Sum_i(J(m_i, T))
   
13 Fe4 0.100004 1.41594
13 Fe4 10.1004 1.41345
13 Fe4 20.1008 1.41125
13 Fe4 30.1011 1.40909
13 Fe4 40.1015 1.40682
13 Fe4 50.1019 1.4043
13 Fe4 60.1023 1.40178
13 Fe4 70.1027 1.399
13 Fe4 80.103 1.39715
13 Fe4 90.1034 1.39394
13 Fe4 100.104 1.39164
13 Fe4 110.104 1.38868
13 Fe4 120.105 1.38563
13 Fe4 130.105 1.3829
13 Fe4 140.105 1.3804
13 Fe4 150.106 1.37729
13 Fe4 160.106 1.37452
13 Fe4 170.106 1.37137
13 Fe4 180.107 1.36874
13 Fe4 190.107 1.36565
13 Fe4 200.108 1.3629
13 Fe4 210.108 1.35944
13 Fe4 220.108 1.35576
13 Fe4 230.109 1.35285
13 Fe4 240.109 1.34842
13 Fe4 250.109 1.34565
13 Fe4 260.11 1.34374
13 Fe4 270.11 1.33859
13 Fe4 280.111 1.33521
13 Fe4 290.111 1.33312
13 Fe4 300.111 1.33022
13 Fe4 310.112 1.32518
13 Fe4 320.112 1.32348
13 Fe4 330.113 1.32095
13 Fe4 340.113 1.31632
13 Fe4 350.113 1.31421
13 Fe4 360.114 1.30997
13 Fe4 370.114 1.30743
13 Fe4 380.114 1.30352
13 Fe4 390.115 1.30099
13 Fe4 400.115 1.29509
13 Fe4 410.116 1.29504
13 Fe4 420.116 1.29064
13 Fe4 430.116 1.28802
13 Fe4 440.117 1.28524
13 Fe4 450.117 1.28138
13 Fe4 460.117 1.27932
13 Fe4 470.118 1.27746
13 Fe4 480.118 1.2742
13 Fe4 490.119 1.27175
T= 490.119 Sum_i(J(m_i, T))
   
14 Fe5 0.100004 1.27742
14 Fe5 10.1004 1.27423
14 Fe5 20.1008 1.27116
14 Fe5 30.1011 1.26852
14 Fe5 40.1015 1.26464
14 Fe5 50.1019 1.26153
14 Fe5 60.1023 1.258
14 Fe5 70.1027 1.25478
14 Fe5 80.103 1.25129
14 Fe5 90.1034 1.2473
14 Fe5 100.104 1.24334
14 Fe5 110.104 1.23985
14 Fe5 120.105 1.23547
14 Fe5 130.105 1.23182
14 Fe5 140.105 1.22825
14 Fe5 150.106 1.22309
14 Fe5 160.106 1.21882
14 Fe5 170.106 1.21396
14 Fe5 180.107 1.21
14 Fe5 190.107 1.20491
14 Fe5 200.108 1.20117
14 Fe5 210.108 1.19565
14 Fe5 220.108 1.19138
14 Fe5 230.109 1.18689
14 Fe5 240.109 1.18108
14 Fe5 250.109 1.17854
14 Fe5 260.11 1.17501
14 Fe5 270.11 1.16986
14 Fe5 280.111 1.16586
14 Fe5 290.111 1.16248
14 Fe5 300.111 1.15888
14 Fe5 310.112 1.15444
14 Fe5 320.112 1.1507
14 Fe5 330.113 1.14612
14 Fe5 340.113 1.14282
14 Fe5 350.113 1.14072
14 Fe5 360.114 1.13638
14 Fe5 370.114 1.13369
14 Fe5 380.114 1.13121
14 Fe5 390.115 1.12704
14 Fe5 400.115 1.12422
14 Fe5 410.116 1.1212
14 Fe5 420.116 1.11949
14 Fe5 430.116 1.11648
14 Fe5 440.117 1.11415
14 Fe5 450.117 1.11456
14 Fe5 460.117 1.11077
14 Fe5 470.118 1.10727
14 Fe5 480.118 1.10394
14 Fe5 490.119 1.10416
T= 490.119 Sum_i(J(m_i, T))
   
15 Fe6 0.100004 1.19245
15 Fe6 10.1004 1.18621
15 Fe6 20.1008 1.17989
15 Fe6 30.1011 1.17344
15 Fe6 40.1015 1.16602
15 Fe6 50.1019 1.15817
15 Fe6 60.1023 1.14985
15 Fe6 70.1027 1.14032
15 Fe6 80.103 1.12948
15 Fe6 90.1034 1.12118
15 Fe6 100.104 1.1097
15 Fe6 110.104 1.10046
15 Fe6 120.105 1.09121
15 Fe6 130.105 1.08081
15 Fe6 140.105 1.07171
15 Fe6 150.106 1.06291
15 Fe6 160.106 1.05535
15 Fe6 170.106 1.04971
15 Fe6 180.107 1.0421
15 Fe6 190.107 1.03496
15 Fe6 200.108 1.02734
15 Fe6 210.108 1.02066
15 Fe6 220.108 1.01735
15 Fe6 230.109 1.01228
15 Fe6 240.109 1.00685
15 Fe6 250.109 1.00443
15 Fe6 260.11 0.999218
15 Fe6 270.11 0.995221
15 Fe6 280.111 0.993255
15 Fe6 290.111 0.98901
15 Fe6 300.111 0.984806
15 Fe6 310.112 0.982696
15 Fe6 320.112 0.980213
15 Fe6 330.113 0.977369
15 Fe6 340.113 0.974199
15 Fe6 350.113 0.974116
15 Fe6 360.114 0.97134
15 Fe6 370.114 0.968559
15 Fe6 380.114 0.968454
15 Fe6 390.115 0.967793
15 Fe6 400.115 0.96698
15 Fe6 410.116 0.963901
15 Fe6 420.116 0.96434
15 Fe6 430.116 0.962696
15 Fe6 440.117 0.96259
15 Fe6 450.117 0.961464
15 Fe6 460.117 0.958018
15 Fe6 470.118 0.959452
15 Fe6 480.118 0.959726
15 Fe6 490.119 0.956171
T= 490.119 Sum_i(J(m_i, T))
   
16 Fe7 0.100004 1.00721
16 Fe7 10.1004 1.0024
16 Fe7 20.1008 0.997469
16 Fe7 30.1011 0.992053
16 Fe7 40.1015 0.986756
16 Fe7 50.1019 0.982121
16 Fe7 60.1023 0.977094
16 Fe7 70.1027 0.971918
16 Fe7 80.103 0.966443
16 Fe7 90.1034 0.960243
