N (# of atoms):
4 Cr4 420.116 0.41774
4 Cr4 430.116 0.420952
4 Cr4 440.117 0.422819
4 Cr4 450.117 0.425691
4 Cr4 460.117 0.426537
4 Cr4 470.118 0.428722
4 Cr4 480.118 0.431097
4 Cr4 490.119 0.432897
T= 490.119 Sum_i(J(m_i, T))
   
5 Cr5 0.100004 0.0981368
5 Cr5 10.1004 0.103682
5 Cr5 20.1008 0.116138
5 Cr5 30.1011 0.127712
5 Cr5 40.1015 0.138036
5 Cr5 50.1019 0.147527
5 Cr5 60.1023 0.155694
5 Cr5 70.1027 0.163285
5 Cr5 80.103 0.171089
5 Cr5 90.1034 0.177579
5 Cr5 100.104 0.18358
5 Cr5 110.104 0.190145
5 Cr5 120.105 0.196002
5 Cr5 130.105 0.20173
5 Cr5 140.105 0.206438
5 Cr5 150.106 0.211325
5 Cr5 160.106 0.216671
5 Cr5 170.106 0.221804
5 Cr5 180.107 0.226475
5 Cr5 190.107 0.230805
5 Cr5 200.108 0.235376
5 Cr5 210.108 0.239254
5 Cr5 220.108 0.244323
5 Cr5 230.109 0.247775
5 Cr5 240.109 0.251988
5 Cr5 250.109 0.254857
5 Cr5 260.11 0.259866
5 Cr5 270.11 0.262984
5 Cr5 280.111 0.267318
5 Cr5 290.111 0.270408
5 Cr5 300.111 0.273192
5 Cr5 310.112 0.276928
5 Cr5 320.112 0.280077
5 Cr5 330.113 0.283798
5 Cr5 340.113 0.286165
5 Cr5 350.113 0.290253
5 Cr5 360.114 0.292699
5 Cr5 370.114 0.296015
5 Cr5 380.114 0.299539
5 Cr5 390.115 0.302866
5 Cr5 400.115 0.304457
5 Cr5 410.116 0.308095
5 Cr5 420.116 0.311448
5 Cr5 430.116 0.314663
5 Cr5 440.117 0.316572
5 Cr5 450.117 0.318958
5 Cr5 460.117 0.321441
5 Cr5 470.118 0.324157
5 Cr5 480.118 0.326104
5 Cr5 490.119 0.329749
T= 490.119 Sum_i(J(m_i, T))
   
6 Cr6 0.100004 0.148712
6 Cr6 10.1004 0.141455
6 Cr6 20.1008 0.149506
6 Cr6 30.1011 0.159104
6 Cr6 40.1015 0.167774
6 Cr6 50.1019 0.175722
6 Cr6 60.1023 0.183103
6 Cr6 70.1027 0.190158
6 Cr6 80.103 0.196593
6 Cr6 90.1034 0.203142
6 Cr6 100.104 0.208901
6 Cr6 110.104 0.21472
6 Cr6 120.105 0.219268
6 Cr6 130.105 0.224653
6 Cr6 140.105 0.229482
6 Cr6 150.106 0.233358
6 Cr6 160.106 0.23876
6 Cr6 170.106 0.242936
6 Cr6 180.107 0.24661
6 Cr6 190.107 0.251082
6 Cr6 200.108 0.255054
6 Cr6 210.108 0.258635
6 Cr6 220.108 0.262673
6 Cr6 230.109 0.266354
6 Cr6 240.109 0.270076
6 Cr6 250.109 0.273992
6 Cr6 260.11 0.276462
6 Cr6 270.11 0.280624
6 Cr6 280.111 0.283572
6 Cr6 290.111 0.286623
6 Cr6 300.111 0.290163
6 Cr6 310.112 0.294686
6 Cr6 320.112 0.296819
6 Cr6 330.113 0.299129
6 Cr6 340.113 0.302045
6 Cr6 350.113 0.305468
6 Cr6 360.114 0.307918
6 Cr6 370.114 0.31015
6 Cr6 380.114 0.312827
6 Cr6 390.115 0.316531
6 Cr6 400.115 0.318366
6 Cr6 410.116 0.320712
6 Cr6 420.116 0.324918
6 Cr6 430.116 0.326706
6 Cr6 440.117 0.329178
6 Cr6 450.117 0.331208
6 Cr6 460.117 0.334893
6 Cr6 470.118 0.336335
6 Cr6 480.118 0.33891
6 Cr6 490.119 0.341809
T= 490.119 Sum_i(J(m_i, T))
   
7 Cr7 0.100004 0.161045
7 Cr7 10.1004 0.151658
7 Cr7 20.1008 0.164388
7 Cr7 30.1011 0.176563
7 Cr7 40.1015 0.187776
7 Cr7 50.1019 0.197191
7 Cr7 60.1023 0.206416
7 Cr7 70.1027 0.214024
7 Cr7 80.103 0.221363
7 Cr7 90.1034 0.228524
7 Cr7 100.104 0.23606
7 Cr7 110.104 0.241867
7 Cr7 120.105 0.24785
7 Cr7 130.105 0.25313
7 Cr7 140.105 0.259129
7 Cr7 150.106 0.263844
7 Cr7 160.106 0.269241
7 Cr7 170.106 0.275001
7 Cr7 180.107 0.279242
7 Cr7 190.107 0.283832
7 Cr7 200.108 0.288044
7 Cr7 210.108 0.292309
7 Cr7 220.108 0.296489
7 Cr7 230.109 0.300824
7 Cr7 240.109 0.304695
7 Cr7 250.109 0.308569
7 Cr7 260.11 0.312289
7 Cr7 270.11 0.316373
7 Cr7 280.111 0.319504
7 Cr7 290.111 0.323154
7 Cr7 300.111 0.326916
7 Cr7 310.112 0.329653
7 Cr7 320.112 0.333433
7 Cr7 330.113 0.336619
7 Cr7 340.113 0.34
7 Cr7 350.113 0.344088
7 Cr7 360.114 0.346421
7 Cr7 370.114 0.34914
7 Cr7 380.114 0.352315
7 Cr7 390.115 0.356349
7 Cr7 400.115 0.35867
7 Cr7 410.116 0.361646
7 Cr7 420.116 0.364281
7 Cr7 430.116 0.367045
7 Cr7 440.117 0.371164
7 Cr7 450.117 0.372651
7 Cr7 460.117 0.374355
7 Cr7 470.118 0.377788
7 Cr7 480.118 0.381162
7 Cr7 490.119 0.383826
T= 490.119 Sum_i(J(m_i, T))
   
8 Cr8 0.100004 0.625364
8 Cr8 10.1004 0.605691
8 Cr8 20.1008 0.593443
8 Cr8 30.1011 0.58381
8 Cr8 40.1015 0.573529
8 Cr8 50.1019 0.564116
8 Cr8 60.1023 0.555296
8 Cr8 70.1027 0.547764
8 Cr8 80.103 0.542318
8 Cr8 90.1034 0.537861
8 Cr8 100.104 0.533115
8 Cr8 110.104 0.529571
8 Cr8 120.105 0.528576
8 Cr8 130.105 0.526241
8 Cr8 140.105 0.524235
8 Cr8 150.106 0.524133
8 Cr8 160.106 0.523794
8 Cr8 170.106 0.523096
8 Cr8 180.107 0.523952
8 Cr8 190.107 0.524936
8 Cr8 200.108 0.523752
8 Cr8 210.108 0.525101
8 Cr8 220.108 0.525493
8 Cr8 230.109 0.526466
8 Cr8 240.109 0.528092
8 Cr8 250.109 0.529622
8 Cr8 260.11 0.529799
8 Cr8 270.11 0.531119
8 Cr8 280.111 0.532031
8 Cr8 290.111 0.533468
8 Cr8 300.111 0.534526
8 Cr8 310.112 0.53485
8 Cr8 320.112 0.537235
8 Cr8 330.113 0.538626
8 Cr8 340.113 0.539571
8 Cr8 350.113 0.542503
8 Cr8 360.114 0.542689
8 Cr8 370.114 0.544291
8 Cr8 380.114 0.546272
8 Cr8 390.115 0.549201
8 Cr8 400.115 0.548681
8 Cr8 410.116 0.550539
8 Cr8 420.116 0.552272
8 Cr8 430.116 0.552768
8 Cr8 440.117 0.555058
8 Cr8 450.117 0.555705
8 Cr8 460.117 0.558285
8 Cr8 470.118 0.560105
8 Cr8 480.118 0.560187
8 Cr8 490.119 0.561893
T= 490.119 Sum_i(J(m_i, T))
   
9 Cr9 0.100004 0.647321
9 Cr9 10.1004 0.62982
9 Cr9 20.1008 0.617016
9 Cr9 30.1011 0.606073
9 Cr9 40.1015 0.59508
9 Cr9 50.1019 0.584946
9 Cr9 60.1023 0.576421
9 Cr9 70.1027 0.568449
9 Cr9 80.103 0.562189
9 Cr9 90.1034 0.557114
9 Cr9 100.104 0.552605
9 Cr9 110.104 0.551067
9 Cr9 120.105 0.548142
9 Cr9 130.105 0.546379
9 Cr9 140.105 0.545016
9 Cr9 150.106 0.5447
9 Cr9 160.106 0.543847
9 Cr9 170.106 0.543394
9 Cr9 180.107 0.54423
9 Cr9 190.107 0.544144
9 Cr9 200.108 0.545215
9 Cr9 210.108 0.545743
9 Cr9 220.108 0.546237
9 Cr9 230.109 0.547312
9 Cr9 240.109 0.548575
9 Cr9 250.109 0.549057
9 Cr9 260.11 0.550922
9 Cr9 270.11 0.552648
9 Cr9 280.111 0.553087
9 Cr9 290.111 0.55361
9 Cr9 300.111 0.557499
9 Cr9 310.112 0.557663
9 Cr9 320.112 0.558628
9 Cr9 330.113 0.55993
9 Cr9 340.113 0.562549
9 Cr9 350.113 0.562153
9 Cr9 360.114 0.564032
9 Cr9 370.114 0.56651
9 Cr9 380.114 0.566838
9 Cr9 390.115 0.568624
9 Cr9 400.115 0.568914
9 Cr9 410.116 0.573738
9 Cr9 420.116 0.574415
9 Cr9 430.116 0.574959
9 Cr9 440.117 0.576821
9 Cr9 450.117 0.577981
9 Cr9 460.117 0.579932
9 Cr9 470.118 0.581109
9 Cr9 480.118 0.581574
9 Cr9 490.119 0.582671
T= 490.119 Sum_i(J(m_i, T))
   
10 Fe1 0.100004 0.988429
10 Fe1 10.1004 0.984079
10 Fe1 20.1008 0.980697
10 Fe1 30.1011 0.976647
10 Fe1 40.1015 0.972401
10 Fe1 50.1019 0.968007
10 Fe1 60.1023 0.963054
10 Fe1 70.1027 0.959882
10 Fe1 80.103 0.955092
10 Fe1 90.1034 0.950856
10 Fe1 100.104 0.947222
10 Fe1 110.104 0.942358
10 Fe1 120.105 0.938137
10 Fe1 130.105 0.933628
10 Fe1 140.105 0.929485
10 Fe1 150.106 0.926576
10 Fe1 160.106 0.922696
10 Fe1 170.106 0.920344
10 Fe1 180.107 0.916527
10 Fe1 190.107 0.911563
10 Fe1 200.108 0.908326
10 Fe1 210.108 0.906548
10 Fe1 220.108 0.90414
10 Fe1 230.109 0.901051
10 Fe1 240.109 0.898723
10 Fe1 250.109 0.895634
10 Fe1 260.11 0.893794
10 Fe1 270.11 0.892401
10 Fe1 280.111 0.89039
10 Fe1 290.111 0.887715
10 Fe1 300.111 0.887621
10 Fe1 310.112 0.885441
10 Fe1 320.112 0.882735
10 Fe1 330.113 0.88189
10 Fe1 340.113 0.881977
10 Fe1 350.113 0.88062
10 Fe1 360.114 0.880091
10 Fe1 370.114 0.877408
10 Fe1 380.114 0.877435
10 Fe1 390.115 0.875736
10 Fe1 400.115 0.875346
10 Fe1 410.116 0.875034
10 Fe1 420.116 0.874597
10 Fe1 430.116 0.872742
10 Fe1 440.117 0.872042
10 Fe1 450.117 0.872285
10 Fe1 460.117 0.874063
10 Fe1 470.118 0.873658
10 Fe1 480.118 0.873065
10 Fe1 490.119 0.872348
T= 490.119 Sum_i(J(m_i, T))
   
11 Fe2 0.100004 0.932559
11 Fe2 10.1004 0.924955
11 Fe2 20.1008 0.917725
11 Fe2 30.1011 0.909992
11 Fe2 40.1015 0.90206
11 Fe2 50.1019 0.895753
11 Fe2 60.1023 0.888693
11 Fe2 70.1027 0.881588
11 Fe2 80.103 0.873621
11 Fe2 90.1034 0.868967
11 Fe2 100.104 0.862125
11 Fe2 110.104 0.856562
11 Fe2 120.105 0.851675
11 Fe2 130.105 0.847022
11 Fe2 140.105 0.843049
11 Fe2 150.106 0.839501
11 Fe2 160.106 0.835304
11 Fe2 170.106 0.83217
11 Fe2 180.107 0.828144
11 Fe2 190.107 0.827627
11 Fe2 200.108 0.825387
11 Fe2 210.108 0.823001
11 Fe2 220.108 0.82158
11 Fe2 230.109 0.820561
11 Fe2 240.109 0.819491
11 Fe2 250.109 0.817593
11 Fe2 260.11 0.816635
11 Fe2 270.11 0.81429
11 Fe2 280.111 0.814775
11 Fe2 290.111 0.814554
11 Fe2 300.111 0.813963
11 Fe2 310.112 0.812463
11 Fe2 320.112 0.813903
11 Fe2 330.113 0.811946
11 Fe2 340.113 0.812949
11 Fe2 350.113 0.812075
11 Fe2 360.114 0.812217
11 Fe2 370.114 0.811866
11 Fe2 380.114 0.813471
11 Fe2 390.115 0.81334
11 Fe2 400.115 0.813444
11 Fe2 410.116 0.813246
11 Fe2 420.116 0.81442
11 Fe2 430.116 0.815741
11 Fe2 440.117 0.815589
11 Fe2 450.117 0.814224
11 Fe2 460.117 0.815906
11 Fe2 470.118 0.815457
11 Fe2 480.118 0.817819
11 Fe2 490.119 0.817782
T= 490.119 Sum_i(J(m_i, T))
   
12 Fe3 0.100004 0.468258
12 Fe3 10.1004 0.466141
12 Fe3 20.1008 0.464556
12 Fe3 30.1011 0.46293
12 Fe3 40.1015 0.461656
12 Fe3 50.1019 0.46086
12 Fe3 60.1023 0.461457
12 Fe3 70.1027 0.462108
12 Fe3 80.103 0.463949
12 Fe3 90.1034 0.466167
12 Fe3 100.104 0.468956
12 Fe3 110.104 0.471425
12 Fe3 120.105 0.47413
12 Fe3 130.105 0.47686
12 Fe3 140.105 0.479685
12 Fe3 150.106 0.482151
12 Fe3 160.106 0.485286
12 Fe3 170.106 0.489127
12 Fe3 180.107 0.491869
12 Fe3 190.107 0.494532
12 Fe3 200.108 0.49849
12 Fe3 210.108 0.502166
12 Fe3 220.108 0.505226
12 Fe3 230.109 0.507219
12 Fe3 240.109 0.510195
12 Fe3 250.109 0.514943
12 Fe3 260.11 0.517637
12 Fe3 270.11 0.519748
12 Fe3 280.111 0.522197
12 Fe3 290.111 0.526164
12 Fe3 300.111 0.52924
12 Fe3 310.112 0.531387
12 Fe3 320.112 0.535223
12 Fe3 330.113 0.537434
